query,count,#docs
comprovação e regular e contas,2,58
conceito  e licitação,2,91
concessão e elementos e projetos,2,4
"transposição, o remanejamento ou a transferência ",2,1
competência do tcu e conluio,2,2
competitividade e restrição,2,139
cmed e estimativa,2,3
competitividade e qualificação técnica,2,48
unidade  e técnica,2,88
coelho e licitação,2,1
coelho e pregão,2,1
técnico-operacional e engenharia,2,3
coisa julgada e débito,2,60
técnico-operacional com quantitativo mínimo superior a 50% do quantitativo,2,2
técnica e subsidiária,2,1
comissão e jurídico,2,27
comparecimento e espontâneo,2,7
compatibilidade e jornada e servidor ,2,10
compensação da supressão e acréscimo,2,29
compensação de créditos e débitos,2,7
compensação de débitos e créditos,2,7
compensação e acréscimo,2,34
técnica e preço subjetivo,2,3
compensação e previdenciária,2,3
técnica e preço e pontuação técnica,2,62
competitividade e contratação,2,84
competitividade e qualificação e restrição,2,29
cargo e comissão e gratificação,2,36
cargo e comissão e exoneração,2,16
carece de amparo legal a remuneração às fundações de apoio estabelecida a partir de taxa de administração,2,1
audiência e julgamento e contas,2,7
"índice de endividamento e 0,5  e engenharia",2,1
é obrigatório o estabelecimento de parâmetros objetivos para análise da comprovação (atestados de capacidade técnico-operacional),2,3
audiência pública e vício,2,1
audiências e concessões,2,5
ausência  e responsabilidade e gestor ,2,115
ausência  e responsabilidade e gestor  e terceiro,2,6
"é irregular, para fins de habilitação técnico-profissional, a exigência de que o responsável técnico pela obra pertença ao quadro permanente de funcionários da licitante ",2,1
ausência de fiscalização e responsabilidade,2,20
"é irregular, para fins de habilitação técnico-profissional, a exigência de que o responsável técnico",2,1
ausência e art e capacidade e técnica,2,1
ausência e citação e fase e externa e ampla defesa e contraditório ,2,11
é irregular a incidência do reajuste autorizado pela ,2,7
é irregular a incidência do reajuste autorizado,2,7
é irregular a exigência de atestado de capacidade técnica com quantitativo mínimo superior a 50% do quantitativo de bens e serviços que se pretende ,2,4
autarquia e imovel de terceiro,2,1
autor e representação e interessado,2,1
autoria e materialidade,2,3
autorização de funcionamento e anvisa,2,2
avaliação desempenho e servidores,2,11
audiência e macular ,2,1
até que haja a partilha,2,1
averbação e tempo e contribuição,2,33
atuação e tcu,2,198
atestado e tecnico e prazo e validade,2,3
atestado habilitação técnica e apresentação e após,2,7
atestados e capacidade,2,160
atestados e capacidade técnica e similaridade,2,3
atestados e desarrazoado,2,1
atestados e prazo,2,16
atestação e nota,2,11
“erro grosseiro” e “lindb”,2,33
atesto e nota e fiscal,2,7
ônus e prova,2,96
ônus e comprovar,2,27
índice financeiro e patrimônio mínimo,2,2
atos admissão pessoal e contraditório ,2,8
atos admissão pessoal e contraditório  e ato sujeito a registro,2,7
atos de admissão e ato de admissão,2,116
atraso e obra,2,14
atualização  e índice  e obra,2,1
atualização de quintos e consecutivos,2,2
atualização e monetária,2,65
é irregular a desclassificação de empresa licitante,2,3
averbação e tempo e serviço e após e aposentadoria,2,66
caput e inexigibilidade e licitação ,2,3
bloqueio e judicial e convênio ,2,4
boa-fé e contas,2,27
vigencia e rescisão,2,2
bolsa e cnpq,2,21
bombeiro civil e ,2,11
cabimento e embargos e declaração ,2,2
cadin e pagamento,2,1
viabilidade e exequibilidade,2,6
café e selo abic,2,1
cancelamento de licitação contraditório e ampla defesa,2,1
veículos oficiais e conselhos profissionais,2,1
cancelamento e ata e sanção,2,1
capacidade e laboral e doença e preexistente,2,1
capacidade tecnica gestao de mao de obra e serviço,2,5
capacidade técnica e gestão de mão de obra,2,5
capacidade técnica e grupo econômico,2,1
verba e publica e finalidade,2,2
vedação e participação e parentesco,2,14
capacitação e inexigibilidade,2,2
capital  e social e minimo  e indices contabeis ,2,1
boa-fe e juros de mora,2,42
bloqueio e judicial,2,7
"é irregular a contratação, por organização social, de empresas cujos sócios ou dirigentes sejam empregados da contratante, por ofensa aos princípios da moralidade e da impessoalidade e para evitar direcionamentos ou favorecimentos não compatíveis com o interesse público",2,1
vigência e convênio ,2,56
ação judicial e súmula 230,2,4
bagagem e seguro,2,1
balanço e exigível,2,1
balanço e instrução e normativa e receita,2,1
é ilegal a admissão de servidor quando a nomeação deste ocorrer fora do prazo de validade do concurso,2,1
balanço patrimonial e balanço patrimonial prazo,2,3
"é cabível a declaração de inidoneidade de empresa que participa de licitação utilizando-se de recursos humanos e materiais de outra empresa, previamente declarada inidônea, com intuito de burlar a penalidade, o que caracteriza fraude à licitação, sendo desnecessária a existência de sócios em comum para a aplicação da sanção.",2,2
balanço patrimonial e exercício anterior,2,5
§5º e época,2,5
visita prévia e licitação,2,7
violação  e alteração  e contratual,2,1
bdi e irpj e csll e proposta,2,3
vinculação ao edital e habilitação,2,3
benefício e credor,2,22
vinculação  e edital,2,28
benefício e município,2,19
vincula e relator,2,8
vigência e vencido ou expirado,2,2
bis e idem,2,91
transposição e anistia,2,16
concessão e serviço público,2,113
culpa e negligência,2,9
tablet  e marca,2,1
convenio e oscip,2,25
convenio e ressarcimento,2,64
convenio e tarifa,2,11
tarifa  e máxima,2,4
convenio e terceiro setor,2,5
convenção coletiva e licitação,2,26
convenção e coletiva,2,33
"tanto as alterações contratuais quantitativas – que modificam a dimensão do objeto – quanto as unilaterais qualitativas – que mantêm intangível o objeto, em natureza e em dimensão, estão sujeitas aos limites preestabelecidos ",2,1
convenção e homologação e repactuação,2,1
convocação e licitantes e remanescentes,2,2
"concorrência e ""sistema s""",2,2
convênio  e licitação ,2,113
convênio e aditivo,2,6
convênio e atraso,2,28
súmula e 270,2,1
súmula e 269,2,2
convênio e cumprimento do objeto,2,27
convênio e datas e notas fiscais e pagamentos ,2,2
convênio e definição,2,8
súmula e 230,2,21
convenio e acordo e cooperação,2,34
"convenio e ""qualificação tecnica""",2,24
conveniencia e oportunidade,2,39
convenente e recursos próprios,2,169
tcu e reexame e interesse,2,3
tce e temporal,2,12
tce e prazo,2,49
tce e nexo de causalidade,2,3
contrato e prorrogação e previsão,2,3
contrato e registro de preços,2,17
contrato e retroativo,2,7
contrato e suporte e garantia,2,1
contrato e vigência,2,74
tce e incorreção,2,21
tce e decadência,2,1
contrato por escopo  e  aditamento,2,1
contrato público e empresa contratada e débito fiscal,2,1
contrato verbal com a administração pequenas compras,2,1
taxativo  e licitação,2,15
taxa e inscrição e concurso,2,14
controle difuso e recurso de revisão,2,1
controle e ato administrativo,2,48
controle interno e tomada de contas especial,2,8
convênio e duração,2,1
convênio e engenharia,2,18
súmula 6 e stf,2,2
sus e administrativa,2,23
"sus  e ""desvio de objeto""",2,33
covid e prazo,2,2
cra e exigência,2,1
crc ou tomada e de e preços,2,15
suprimento de fundos e cartao,2,8
credenciamento e alimentação,2,1
credenciamento e chamamento e público,2,3
superveniente e engenharia ,2,2
credenciamento e inexigibilidade e licitação ,2,25
credenciamento e pontuação,2,2
superfaturamento e sobrepreço,2,74
credenciamento e prestadores de serviços,2,4
superfaturamento e percentual,2,17
critério e maior desconto,2,5
critérios aceitabilidade  e ,2,52
sucessores e citação,2,26
cronograma físico-financeiro e aditivo,2,3
sucessor e providências,2,23
sucessor e obra,2,12
cotação ou preços médias ou medianas e obra e engenharia,2,10
cooperação e técnica,2,21
entrega e recebimento,2,19
suspensão  e empresa pública,2,8
súmula 247 e justificativa ,2,1
convênio e pagamento antecipado,2,3
sócio e art. 71,2,2
sócio e art. 70,2,2
convênio e plano de trabalho,2,109
sustentabilidade e dívida e pública,2,1
suspensão temporária de participação em licitação e impedimento de contratar com a administração,2,11
suspensão e pregão,2,15
suspensão e licitação,2,53
convênio e responsabilização e projeto,2,3
convênio e serviços e saúde,2,18
convênio e taxa,2,12
convênio e tomada de contas especial e ,2,63
convênio e transferência e recursos e entidades,2,39
suspensão de contratar com o poder público ,2,4
convênio ou receitas e despesas ou pagamentos,2,368
convênio$ e (impessoalidade),2,32
convênios e aquisição,2,40
convênios e pesquisa,2,17
contrato e gestão e prazo e determinado,2,1
tcu e revisão e econômico,2,31
tecnica e preço julgamento objetivo,2,5
consorcio e responsabilidade e contrato,2,10
consulta e admissibilidade,2,28
tomada de contas especial  e inquisitorial,2,1
consórcio e contrato,2,15
tolerância e sobrepreço,2,9
"todavia, a título de racionalidade administrativa",2,1
titulo e qualificação,2,4
titular da unidade técnica emite o seu parecer ,2,3
teto e indenizatória,2,11
conta específica e convênio,2,101
contas e fundo e responsabilidade,2,24
teto e constitucional e isoladamente,2,3
teto constitucional e pensão e militar,2,5
contas e pessoa jurídica e débito,2,35
contas e pessoas jurídicas,2,76
teto constitucional e pensão,2,23
contas ordinárias e privado,2,28
termo e referência e dispensa,2,1
contraditorio e ampla defesa,2,263
contraditorio e ampla defesa rescisao contrato,2,3
consorcio e responsabilidade e solidaria,2,6
tomada de contas especial e parcelamento,2,1
termo e execução e descentralizada,2,2
tomada de contas especial e suspensão,2,6
transferências voluntárias e parcelamento,2,1
concurso e taxa e tributo,2,1
concurso público e vaga,2,15
condenação e débito e omissão,2,7
condições e pagamento e contrato,2,15
transferência e sus,2,23
conformidade  e financeira,2,11
tomada e preços,2,15
conluio e não,2,43
conselho e licitaç$,2,75
conselho e licitaç$ e princípio,2,9
tomada e contas e prescrição e intercorrente,2,1
tomada e contas e judiciário,2,344
conselhos de fiscalização e assessoria juridica,2,5
tomada e contas e especial e prescrição,2,15
tomada e contas e especial,2,441
conselhos e profissional e diárias,2,28
tomada e conta e especial,2,438
tomada de preço  e diario oficial do estado,2,1
termo e referencia,2,34
contraditório e contraditório,2,282
contrato e empreitada e ,2,27
contratação e direta e regularidade e trabalhista,2,1
contratação e esposa,2,2
contratação e inexigibilidade e software,2,3
terceirização  e pessoal,2,41
contratação emergencial e construção de unidade de saúde,2,1
contratação emergencial e prazo,2,5
tempo residual e quintos,2,13
contratação única e sistema de registro de preços,2,4
contratações  e sustentáveis,2,1
contrato  e acréscimo e custo e direto,2,1
tempo no cargo e desembargador,2,4
contrato administrativo e reajuste e apresentação da proposta,2,7
tempo e residual ,2,25
contrato com a mesma vigencia,2,75
"contrato e ""serviço continuo"" e prorrogação e previsão",2,2
contrato e administrativo  e pedido e reequilibrio e financeiro ,2,2
contrato e administrativo e reajuste,2,37
tem aplicação restrita ao órgão ou entidade que a cominou,2,1
tecnico-operacional e percentual,2,3
tecnico-operacional e atestados e somatório,2,7
terceirização e despesa e pessoal,2,8
contratação e direta e dispensa e licitação e inciso e ii,2,11
contraditório e documentos ,2,24
terceirização e fiscal,2,18
contraditório e fatos,2,34
termo de referência e dispensa de licitação,2,1
termo aditivo e prorrogação e vigência e expirada,2,1
termo  e ajuste  e conduta,2,3
contrapartida e convênio,2,68
contrapartida e responsabilidade do município,2,11
contrat$ e serviços e inexigibilidade e exclusiv$,2,12
terceiro setor  e licitação,2,17
terceirização e serviços  e engenharia,2,7
contratação de artistas e inexigibilidade,2,32
terceirização e saúde,2,9
contratação de fundações e contratação direta fundações,2,6
terceirização e retenção e obrigações trabalhistas,2,3
terceirização e pagamento,2,42
contratação direta e cursos,2,2
"contratação e ""valores superiores"" e salários",2,3
terceirização e função e desvio,2,4
contratação e advogado,2,11
contratação e demanda,2,28
convênio e licitação e entidades privadas,2,32
exequibilidade e lucro zero,2,1
equilibrio e contratual e reajuste e contrato,2,10
profissional e permanente,2,18
projeto básico e serviço público,2,20
microempresa e empate e preferência,2,6
projeto básico e projeto executivo,2,37
microempresa e local,2,1
projeto básico e deficiente,2,10
microempresa e simples nacional,2,7
microempresas e empresas de pequeno porte ,2,58
"militar e pensão e ""morte ficta""",2,2
projeto  e  arquitetônico,2,7
professor e cargo e comissionado,2,1
microempresa e declaração e ausência,2,4
ministro    e responsabilidade,2,6
ministério  e defesa,2,15
produtividade e licitação,2,24
mobilização e desmobilização e bdi,2,10
modalidade e prorrogações e valor,2,8
modalidade pregão e bens e serviços tecnologia,2,7
produtividade compatível com a marca de referência mencionada,2,2
modifi$ e extint$,2,2
procuração  e licitação,2,6
microempresa e desempate,2,7
microempresa e balanço patrimonial,2,1
responsabilidade e projeto básico e superfaturamento,2,1
materialidade e autoria,2,3
manutenção ti e inexigibilidade,2,4
mao de obra e serviço noturno,2,1
marca  e ausência,2,3
marca e modelo licitação,2,3
proposta e assinatura,2,5
marcas e aquisição e cartuchos,2,4
marco e inicial e reajuste,2,10
margem de lucro mínima e inexequibilidade,2,1
material e informática ,2,6
matriz de risco lei de licitação e contratos administrativos,2,1
micro empresa  e empresa de pequeno porte e licitação,2,2
media e mediana,2,2
medida cautelar e contrato,2,14
medição e liquidação,2,10
proporcionalidade e razoabilidade,2,20
promoção pessoal e impessoalidade,2,6
medição e serviço  e não previsto,2,3
medição e software,2,1
projeto e preço,2,52
melhor técnica e preço,2,12
"modificação e forma  e  pagamento e 65 e ii e ""c""",2,1
processual e recurso e cautelar,2,31
monitor e magistério e aposentadoria,2,1
média  e agência  e nacional e petróleo,2,2
multa e obra ,2,25
prestação e continuada e modalidade,2,2
multa e omissão,2,62
multa e prescrição,2,86
prestação e antecipada,2,6
multa e valor,2,117
multa por infração e ressarcimento,2,1
prestação de contas patrocínio boa e regular ,2,1
prestação de contas e prefeito,2,54
média e aposentadoria,2,58
processo seletivo  e dou,2,11
prestação de contas e execução física e regularidade,2,2
mínimo  e  propostas,2,71
"nas licitações para contratação de serviços continuados com dedicação exclusiva de mão de obra, os atestados de capacidade técnica devem comprovar a aptidão da licitante na gestão de mão de obra,",2,2
negativa e autoria,2,12
nexo causal e teoria ,2,2
no caso de a decisão judicial dispor expressamente,2,17
nomeação e concurso publico e art. 21 lrf,2,1
nota  e fiscal  e diligência,2,1
nota e fiscal,2,93
multa e município,2,39
preço  e unitário e contratação e integrada,2,5
preço certo convênio e ,2,1
multa e licitação e sanção,2,3
monitoramento e recomendação,2,1
procedimento análogo a licitação,2,4
princípio da legalidade e administração,2,27
principio da eficiência e estrita legalidade,2,2
multa contra a administração,2,57
multa e 57,2,91
multa e 58,2,179
preços valor médio ou mediano e obra ou engenharia,2,5
multa e 58 e empresa,2,14
multa e art. 58 e diligencia ,2,12
preço global e registro de preços,2,21
preço e mercado e sobrepreço,2,45
multa e empresas,2,38
preço e mercado,2,315
preço e inexequível,2,9
preço e contratação,2,270
multa e fiscalização e prejulgamento,2,2
multa e gestor do contrato,2,14
multa e juros,2,14
manutenção e reforma,2,5
manutenção e desconto,2,29
proposta e custos unitários,2,31
licitação e organização social,2,10
licitação e lote,2,45
licitação e lote e não e princípio,2,3
licitação e manutenção e equilíbrio e aditivo e desconto,2,5
provas e compartilhamento,2,3
licitação e modificação e entrega,2,1
licitação e notebook,2,12
prova e pericial,2,14
prorrogação excepcional e doze meses,2,2
prorrogação e vigência e dispensa ,2,9
licitação e parentesco,2,32
licitação e razoabilidade  e técnica e preço,2,4
prorrogação e vantajosidade,2,7
licitação e participação e autor do projeto,2,11
licitação e planilha e erro e planilha,2,7
prorrogação e supressão,2,1
licitação e princípio da legalidade,2,21
prorrogação e serviços contínuos  e inexigibilidade,2,2
licitação e procedimento e observância,2,12
prorrogação e requisitos,2,32
prorrogação e preço,2,29
licitação e local,2,140
licitação e licitação estatal,2,79
licitação e licença de operação ambiental,2,9
provimento ilegal  e aposentadoria,2,2
qualificação e técnica e 50%,2,17
qualificação e operacional,2,90
licitação e desoneração,2,9
qualificação  e economico e financeira,2,122
qual a data-base adotar,2,2
quadro e permanente,2,29
licitação e dotação orçamentária,2,6
licitação e exclusividade e inexigibilidade,2,60
punição a licitante,2,6
publicidade e prorrogação,2,4
licitação e experiência ,2,61
publicidade e promoção pessoal,2,4
licitação e grau de endividamento,2,1
publicidade e prazo,2,12
publicidade e inexigibilidade,2,2
publicidade e certame ,2,16
provisório e cargo,2,30
licitação e inexigibilidade e responsabilidade,2,24
provisão e créditos e duvidosa,2,12
prorrogação e prazo e contrato ,2,36
licitação e registro e conselho e administração,2,4
manutenção  e veículos,2,8
locação e valor ,2,8
prorrogação de contratos de serviços contínuos e vantajosa,2,5
prorrogação de contrato e vantajosidade,2,7
lindb e dolo,2,8
liquidação e erro grosseiro,2,2
atestado e somatório,2,11
locação e imóvel e dispensa,2,6
locação e imóvel e modalidade e licitação,2,2
locação e indenização,2,1
locação e necessidade de preço de mercado,2,2
prorrogaçaõ e prorrogação,2,176
licitação e regularidade fiscal,2,39
propriedade e de localização prévia,2,5
longo prazo  e longo transcurso de tempo,2,4
proposta exigência de amostra e ,2,19
lrf e conselhos profissionais,2,3
lucro real e presumido,2,1
proposta e orçamento,2,91
proposta e desconformidade,2,4
proposta e desclassificação de propostas,2,91
manutenção  e do desconto e aditivo e licitação,2,9
licitações serviços de manutenção preventiva e corretiva,2,5
licitações e vícios insanáveis,2,2
licitações e realizadas e publicação,2,1
licitações e contratos ,2,620
licitação e representação,2,40
prorrogação e exceção e limite,2,5
licitação e rescisão e contrato ,2,16
licitação e responsabilidade,2,457
licitação e revogação,2,16
licitação e sanção e administrativa e abrangência,2,38
prorrogação e dispensa,2,15
licitação e sistema s,2,66
licitação e substituição e produto,2,1
licitação e superfaturamento,2,35
prorrogação e contrato por escopo,2,1
licitação e vale-alimentação,2,23
prorrogação e contrato e vigência,2,35
licitação federal e regularidade fiscal,2,10
licitação por lote e aditivo,2,1
licitação técnica e preço,2,166
prorrogação e contratação e inexigibilidade,2,3
licitações do tipo técnica e preço,2,39
prorrogação e carona e registro e preços e contrato,2,1
nota e fiscal e ausência e número e convênio,2,4
notificação e fase interna,2,33
prestação de contas  e antes da citação,2,24
participação em congresso e inexigibilidade,2,3
prefeito e culpa in eligendo,2,5
parecer e jurídico,2,116
parecer e vinculante,2,8
parecer jurídico e gestor,2,45
parecer jurídico e responsabilização,2,21
preco e medi$ e estimat$,2,40
parecerista e erro grosseiro ,2,20
parecerista jurídico e culpa,2,32
preclusão e repactuação ,2,6
participação nos lucros e resultados,2,5
penalidade de impedimento de licitar e contratar,2,10
particular e lindb,2,2
patente e inexigibilidade,2,1
patrocínio e contrato,2,17
patrocínio e esportivo e estatal,2,1
patrocínio e licitação,2,4
patrocínio e prestação e contas,2,18
prazo e vigência,2,72
prazo e proposta,2,55
prazo e contrato por escopo,2,3
parcerias entre o poder público com entidade privada,2,2
prefeito e dever,2,32
parceria  e negócio,2,5
prefeito sucessor e omissão no dever de prestar contas  e contas irregulares,2,4
pagamento e maior,2,22
pregão e bens e serviços e comuns,2,44
pagamentos após o prazo de execução,2,5
"pagamentos continuados e ""natureza continuada""",2,10
pregão  e presencial,2,29
parcela de maior relevância e valor significativo,2,13
parcelamento  e obras e competitividade,2,3
parcelamento do débito e juros,2,10
pregoeiro e diligência,2,4
parcelamento e débito e prescrição,2,1
parcelamento e exceção,2,24
parcelamento e limpeza ,2,1
parcelamento e lotes,2,11
pregoeiro e comissão,2,7
parcelamento e objeto e contrato,2,9
parcelamento e objeto e justificativa e economia e escala,2,3
parcelamento e prazo,2,8
parcelamento e recurso,2,11
parcelamento e registro,2,3
prazo e contrato e servicos  e advocaticios,2,1
penalidade e suspensão,2,46
pregão e desclassificação,2,11
planilha de custos  e eventos,2,1
pesquisa de preços e fontes de consulta ,2,7
planos e econômicos,2,95
pesquisa de preços e três orçamentos,2,5
pesquisa e de e preços ,2,95
pesquisa e dispensa ,2,24
planilhas e custos,2,96
pesquisa e preço,2,95
pesquisa e preço e fornecedor,2,34
planilha de custos e de formação de preços da licitante ,2,10
pesquisa e preços e licitantes e mesmos ,2,8
pensao e desvi*,2,5
planilha de custo e composição,2,34
planilha de composição de preços unitário e composição do bdi,2,7
pessoa privada e contas e dano,2,12
pessoal décimos 62-a,2,4
"pessoal e ""saúde da família""",2,14
planilha  e de e custos  e formação e de e preços,2,19
planilha  e custo e acréscimo e  contrato,2,2
planilha  e custo,2,96
peças e terceirização,2,1
pesquisa de preços com a mesma empresa,2,12
pesquisa de preço e comprasnet,2,6
"pnate e ""código de trânsito""",2,4
ponderação técnica e preço,2,30
pensao militar e acumulação ,2,29
"prazo e ""balanço patrimonial"" e ""receita federal""",2,1
pensão a pessoa designada,2,28
pensão a viúva e companheira,2,31
prazo de vigência e art. 57,2,3
pensão civil a filho maior inválido,2,16
pensão civil e cálculo,2,26
prazo de validade  para o atestado de capacidade tecnica ,2,3
prazo de impugnação e licitação,2,6
pensão e ato e complexo,2,24
pensão e cálculo,2,42
prazo de entrega e licitação ,2,9
pensão e ex-combatente e reversão,2,2
"pensão e militar e ""morte ficta""",2,2
prazo  e vigencia e prazo e execução,2,13
prazo  e pagamento,2,38
pensão e paridade ,2,29
pensão militar e cumulação,2,29
pequeno porte e declaração falsa e vantagem,2,7
pagamento e diaria e irregular,2,3
pregão e diligências e exequibilidade e proposta,2,1
notificação e responsável e falecido,2,1
prescrição e citação e nula,2,1
o perigo de dano ao erário pode justificar a convalidação de atos irregulares,2,3
o que a lei permite,2,45
prescrição e pretensão e ressarcimento,2,6
prescrição e prescrição agentes e prescrição,2,5
o tcu não pode substituir o pode judiciário,2,2
prescrição e ordem e pública,2,5
"o ônus de comprovar a regularidade""",2,8
prescrição e inequívoco,2,1
prescrição e fiscalização,2,3
prescrição e 2022,2,20
obrigatoriedade e fiscalização e obra,2,6
obra e chuva,2,13
obra e pregao,2,36
prescrição  e ressarcimento e erário,2,12
obra e unitário e global,2,39
prescrição  e 899,2,2
obras e registro de preços,2,9
obras e serviços de engenharia fiscal,2,26
prescricao e interrom*,2,22
obras e unitários e global,2,39
prescrição e pretensão ressarcitória,2,3
o pagamento de proventos acima do teto constitucional ,2,1
o licitante pode alterar a proposta,2,2
o instituto da delegação é uma manifestação da relação hierárquica ,2,1
prestacao e contas e ong,2,1
notória especialização e singularidade,2,36
preservar o objeto ,2,6
novo  e documento,2,80
prescrição intercorrente e resolução 344/2022,2,2
prescrição e tomada de contas especial,2,15
nulidades e citação,2,36
não aplicação de sanção para a administração publica ,2,52
não assinar o contrato,2,1892
não comprovação da boa e regular aplicação,2,38
não consta no orçamento  e competência,2,24
não ofende o devido processo legal,2,30
não restringe a competitividade,2,268
prescrição e sobrestamento,2,2
prescrição e ressarcimento,2,14
o aproveitamento de e planejamento licitação,2,9
o caráter competitivo do certame,2,75
o falecimento do interessado,2,4
prescrição e recebimento e multa,2,1
obras novas e reformas,2,1
ocorrências e impeditivas e indiretas e fornecedor,2,2
pagamento e continu$,2,67
pagamento de diária a servidor,2,9
orçamento e referência,2,127
orçamento e superior,2,27
orçamento estimado em planilhas de quantitativos e preços,2,14
orçamento estimativo e detalhamento,2,32
pregão e serviços comuns,2,90
pregão e serviços advocatícios,2,2
pagamento antecipado e estatais,2,1
pregão e restrição,2,1
pagamento de despesa e indenização,2,2
pregão e reforma e obras ,2,1
oficial de justiça avaliador e gae,2,8
pregão e recurso e requisitos,2,5
pagamento de juros e multa,2,5
"pagamento e ""sem culpa"" ",2,1
pagamento e (ente ou município) e débito,2,23
pagamento e antecipa$,2,58
pregão e quantidades,2,2
pregão e presencial e eletrônico,2,30
pregão e inexequível,2,2
pregão e garantia contratual,2,1
orçamento e portal de compras,2,3
orçamento e engenharia e atualização,2,1
orçamento e edital,2,83
orçamento e data e reajuste,2,7
oitiva e interessado,2,8
omiss$ e presta$,2,177
prejuizo e responsabilidade,2,524
prejuizo e quantificação,2,13
prejuizo e apurar,2,9
omissão e débito,2,85
omissão e embargos,2,120
omissão e prestação,2,101
omissão e sucessor,2,29
omissão no dever e intempestiv$,2,39
onerosidade excessiva e requisito,2,2
prejuizo ao exercicio do contraditoria e da ampla defesa,2,26
oportunidade e negócio,2,7
opção e quintos,2,77
ordem e de e serviço,2,22
ordenador e contabilidade,2,1
organização e social,2,52
organizações sociais e saúde,2,11
orçamento e  superior,2,27
licitação e correio ,2,8
licitação e correio,2,8
qualificação e técnica e objeto e similar,2,3
fundo e constitucional e distrito e federal,2,23
fraude e proventos,2,4
"regulação e ""agência reguladora""",2,5
fundação e apoio e pesquisa e convênio,2,7
fundação e contratação e percentual,2,1
fundações contratação  e fundação universidade federal,2,5
fundações de apoio e taxa,2,7
regularidade fiscal e tributos,2,4
regularidade fiscal e sicaf,2,1
fundo a fundo transferência,2,88
fundo e recurso,2,228
garantia e contrato ou seguro-garantia,2,88
regularidade  e fiscal,2,85
regulari$ e habilit$ e fiscal e licitação,2,21
garagem e veículos,2,1
garantia  e execução,2,21
garantia contratual - instrumento convocatório e contrato,2,2
garantia do contrato e previsão no edital,2,10
garantia e capital social,2,27
garantia e consórcio,2,2
garantia e contrato,2,85
relatório e unidade e técnica,2,23
relação explícita e da declaração formal da sua disponibilidade,2,1
relevante e prescrição,2,2
fraude a licitação ,2,173
fiscalização e concurso e público,2,38
repactuação e ,2,36
renovação contratual e serviços contínuos,2,2
fiscalização e gestão contratos,2,10
fiscalização e ocorrências,2,8
remuneração e lei específica,2,10
fixação de novo prazo e ente federado,2,2
fnde e omissao,2,14
remuneração e aposentado,2,64
formalismo e formalismo moderado,2,23
remoção e interesse,2,2
formalismo moderado e declaração,2,5
fornecedor e exclusivo,2,27
fornecimento por lotes e não por item ,2,2
força e maior,2,30
fracionamento  e despesa,2,49
"fracionamento e ""mesmo local""",2,3
fracionamento e despesa e justificativa,2,1
remanescente e obra,2,12
registro e preços,2,121
garantia e execução e contratual,2,9
fiscalização de contrato e terceirização,2,19
reforma e registro,2,75
habilitação  e regularidade fiscal,2,27
habilitação e comissão,2,13
habilitação e consórcios,2,4
habilitação e declaração,2,48
habilitação e dispensa,2,7
registro  e preços,2,117
habilitação e exigencia previa,2,13
habilitação e ilegal,2,55
habilitação e jurídica e contratação e direta ,2,1
reforma e posto ,2,3
garantia e pregão,2,3
reforma e pensao,2,92
habilitação e índice,2,7
reequilíbrio requisitos e ,2,11
reequilíbrio financeiro e índice,2,5
homologação e dispensa,2,1
homologação e licitação  e parecer e juridico,2,3
honorarios e fundeb,2,5
honorários advocatícios e fundeb,2,5
honorários advocatícios e fundef,2,6
"registro de preço e ""quantitativo máximo""",2,5
registro de preços e adesão ,2,43
glosa e sobrepreço,2,3
glosa e multa,2,1
registro e conselho e licitação e contrato,2,3
garantia e validade,2,7
garantias do contrato e ,2,85
registro de ´preços e decreto,2,30
gerenciamento e frota,2,3
gerenciamento e obra,2,17
registro de preços e serviços de engenharia,2,11
registro de preços e recurso federal,2,2
gestor e fiscal de contrato,2,12
gestor e fiscal de contrato terceirizado,2,1
registro de preços e quantitativo,2,19
registro de preços e quantidades,2,14
registro de preços e obras,2,10
gestor saúde e responsabilidade gestor saúde,2,25
registro de preços e menor preço por lote,2,11
registro de preços e menor preço global,2,11
registro de preços e decreto,2,29
global e pagamento e unitário,2,4
glosa e contratos e administrativos,2,9
fiscalização de obra pública e pesquisa de preço,2,1
repactuação e interregno,2,5
honorários e fundeb e fundef,2,5
evtea e concessões,2,23
estimativa de preços e vinculadas,2,2
estoque e medicamento,2,1
estruturas e atribuições próprias,2,7
estudo de viabilidade e ferrovia,2,1
estudo e adesão,2,2
responsabilidade e civil,2,130
responsabilidade  e serviço social autônomo,2,4
evento e servidores,2,3
responsabilidade  e parecer,2,127
ex-servidor e tce,2,1
exequibilidade e princípios,2,2
resolução 344/2022 e prescrição intercorrente,2,2
excesso de formalismo e desclassificação da proposta,2,1
exclusivos e microempresa,2,5
exclusão e regime e tributário e licitação,2,6
reserva técnica nas planilhas de custos e formação de preços,2,4
execução e débito,2,205
reserva técnica  e eventos,2,2
rescisão e unilateral,2,6
execução parcial e débito,2,64
responsabilidade e contratada e dano,2,71
responsabilidade e delimitação,2,3
responsabilidade e dol$ e culp$  e subjetiva,2,15
estatal dependente e despesa e pessoal,2,1
equilibrio economico-financeiro e obra,2,24
responsabilidade e projetista,2,3
equilíbrio econômico-financeiro e prazo,2,6
erro e planilha,2,8
erro e reajuste,2,1
erro grosseiro e conselho,2,1
erro grosseiro e liquidação,2,2
responsabilidade e ordenador,2,44
responsabilidade e ordem de pagamento,2,2
